eis_number,lead_agency,state,cost_m_usd_nominal,cost_year,cost_method,cost_source_url,cost_source_title,cost_source_publisher,cost_source_date,cost_source_page,cost_quote,cost_confidence,imputed,imputation_basis,cost_notes,naics_code,naics_label,naics_reason,title
20170059,USACE,NY,200,2017,sector_impute_pending,NA,NA,NA,NA,NA,Mamaroneck and Sheldrake Rivers Flood Risk Management. USACE channel modifications + flood walls.,low,TRUE,Urban-flood-risk-channel (~$200M),Westchester County NY. USACE NY District.,2213,"Water, sewage, & other systems",USACE default <e2><86><92> water systems,Mamaroneck and Sheldrake Rivers Flood Risk Management Project
20130360,USFS,AZ,1900,2017,web,https://www.constructiondive.com/news/arizona-court-stops-1b-rosemont-copper-mine-construction/560105/,Arizona court stops $1B Rosemont copper mine construction,constructiondive.com,2019,NA,$1.9 billion Rosemont Copper project on $3.00/lb Cu price assumption (Hudbay).,high,FALSE,NA,Coronado NF AZ. Hudbay Minerals. ROD vacated 2019; project paused but EIS exposure attributable.,212,Mining (except oil & gas),mining / mineral extraction,"Rosemont Copper Project, Proposed Construction, Operation with Concurrent Reclamation and Closure of an Open-Pit Copper Mine"
20170085,NRC,MO,115,2017,web_imputed,NA,NA,NA,NA,NA,Northwest Medical Isotopes Radioisotope Production Facility (Columbia MO). University-affiliated Mo-99 production. Mid-size medical isotope facility.,low,TRUE,Medical-isotope-production-facility (~$115M),University of Missouri area. NWMI.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,Construction Permit for the Northwest Medical Isotopes Radioisotope Production Facility
20170088,USACE,HI,345,2017,web_imputed,NA,NA,NA,NA,NA,Ala Wai Canal Flood Risk Management Project. USACE 2017 estimated total ~$345M federal share.,medium,TRUE,USACE-flood-risk-major (~$345M),Honolulu HI. USACE Honolulu District.,2213,"Water, sewage, & other systems",USACE default <e2><86><92> water systems,"Ala Wai Canal Project, Flood Risk Management"
20170096,USACE,MS,570,2017,web_imputed,NA,NA,NA,NA,NA,Port of Gulfport Expansion. Multi-phase port deepening + restoration. Estimated total ~$570M.,low,TRUE,Port-expansion-major (~$570M),Gulfport MS. MS State Port Authority.,488,Support activities for water transportation,water transportation infrastructure,Port of Gulfport Expansion Project
20170098,HUD,CA,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,HUD adoption of FTA Transbay Terminal / Caltrain DTX EIS. Underlying project led by TJPA + FTA.,high,FALSE,NA,Adoption <e2><80><94> primary FTA (not in our (i) set).,485,Transit & ground passenger transportation,transit / light rail / bus terminal,"Adoption--Transbay Terminal/Caltrain Downtown Extension/Redevelopment Project, Review Period Ends: 07/19/ 2017, Contact: Stanley W. Toal 415-489-6668. The Housing and Urban Development/the City and County of San Francisco Mayor's Office of Housing and Community Development (MOHCD, has adopted the Federal Transit Administration's FEIS #20040148, filed 03/26/2004 with the EPA. HUD/MOHCD was not a cooperating agency for the FEIS. Therefore, recirculation of the document is necessary under Section 1506.3(b) of the CEQ Regulations."
20170113,FERC,WV,7850,2017,web,https://www.utilitydive.com/news/mountain-valley-pipeline-construction-complete/718724/,$7.85B Mountain Valley Pipeline construction complete,utilitydive.com,2024,NA,Final cost $7.85 billion. Originally $3.5B at 2014 announcement. In service 2024.,high,FALSE,NA,MVP. 303-mi WV-VA. Equitrans + NextEra + Con Edison + WGL + RGC.,486,Pipeline transportation,pipeline / compressor / gas service,Mountain Valley Project and Equitrans Expansion Project
20170115,USFS,WV,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,USFS adoption of FERC Mountain Valley Pipeline EIS (20170113).,high,FALSE,NA,Adoption <e2><80><94> primary EIS FERC.,113,Forestry & logging,USFS default <e2><86><92> forestry,"ADOPTION--Mountain Valley Project and Equitrans Expansion Project, Contact: Karen Overcash 540-265-5175. The U.S. Department of Agriculture's Forest Service (USFS) has adopted the Federal Energy Regulatory Commission's FEIS #20170113, filed with EPA 06/22/2017. The USFS was a cooperating agency for this project. Therefore, re-circulation of the document is not necessary under Section 1506.3(c) of the CEQ Regulations."
20170130,FHWA,UT,750,2024,web,https://www.alliant-inc.com/projects/west-davis-corridor-design-build/,West Davis Corridor Design-Build,alliant-inc.com,2024,NA,$750M design-build contract for SR-177 / West Davis Corridor 16-mi freeway. Opened Jan 2024.,high,FALSE,NA,Davis County UT. UDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,West Davis Corridor
20170134,FHWA,IL,2700,2017,web,https://www.equipmentworld.com/roadbuilding/article/14967779/idots-i-290eisenhower-expressway-expansion-receives-federal-approval,IDOT I-290 Eisenhower expansion gets federal approval,equipmentworld.com,2017,NA,IDOT estimates $2.7B for the I-290 Eisenhower expansion (FHWA CER 2017: $3.2B).,high,FALSE,NA,Chicago. Currently unfunded but ROD issued <e2><80><94> exposure attributable.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"Interstate 290 Eisenhower Expressway, Contact: Catherine A. Batey 217-492-4600, Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30- day wait/review period under NEPA does not apply to this action."
20170138,FERC,VA,8000,2020,web,https://www.utilitydive.com/news/duke-dominion-cancel-8b-atlantic-coast-pipeline/581028/,"Duke, Dominion cancel $8B Atlantic Coast Pipeline",utilitydive.com,2020-07-05,NA,$8 billion cost (rose from $4.5-5.0B). Cancelled July 2020.,high,FALSE,NA,ACP. WV-VA-NC. Dominion + Duke. Cancelled but FEIS issued.,486,Pipeline transportation,pipeline / compressor / gas service,Atlantic Coast Pipeline and Supply Header Project
20170139,FHWA,IL,200,2017,sector_impute_pending,NA,NA,NA,NA,NA,US 30 IL 136 to IL 40 Whiteside County. Rural 4-lane expansion ~35 mi.,low,TRUE,Rural-4-lane-expansion (~$6M/mi),Whiteside County IL. IDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"US 30 from IL 136 to IL 40 Whiteside Co., Contact: Catherine A. Batey 217-492-4600, Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20170143,FHWA,UT,80,2017,sector_impute_pending,https://permits.performance.gov/permitting-project/dot-projects/i-80-state-street-interchange,I-80 State Street Interchange Permitting Dashboard,permits.performance.gov,2017,NA,Westbound on-ramp + frontage road + structure widening + auxiliary lane improvements at one urban interchange. Modest-scale interchange project.,low,TRUE,Modest-urban-interchange-improvement (~$80M),South Salt Lake UT. UDOT + FHWA. CORRECTED 2026-06-01 (spot-check): was $400M assuming major interchange recon; actual scope is on/off-ramp + widening only.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"I-80 and State Street Interchange, Contact: Brandon Weston, 801-965-4603. Under MAP-21 Section 1319, FHWA has issued a single FEIS and ROD. Therefore, the 30-day wait/review period under NEPA does not apply to this action."
20170148,FERC,WV,3200,2019,web,https://www.nsenergybusiness.com/news/transcanada-mountaineer-xpress-pipeline/,TransCanada $3.2bn Mountaineer Xpress pipeline enters full service,nsenergybusiness.com,2019,NA,$3.2 billion cost (rose from $2.06B at filing). 264-mi 36-in WV.,high,FALSE,NA,Columbia Gas Transmission / TC Energy. WV.,2211,Electric power generation/transmission/distribution,FERC default = electric power,Mountaineer Xpress and Gulf XPress Projects
20170149,BOEM,LA,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,G&G Activities on the Gulf of Mexico Outer Continental Shelf PEIS. Programmatic for seismic survey permits.,high,FALSE,NA,RECLASSIFY (ii). Programmatic.,999,Unclassified,no rule matched,Geological and Geophysical Activities on the Gulf of Mexico Outer Continental Shelf
20170158,DOE,NH,1600,2017,web_imputed,NA,NA,NA,NA,NA,Northern Pass Transmission Line. 192-mi HVDC from Quebec via NH. Eversource. ~$1.6B project. Cancelled 2019.,high,FALSE,NA,NH Site Evaluation Committee denied permit 2018. Cancelled but FEIS issued.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,Northern Pass Transmission Line Project
20170184,FRA,GA,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Atlanta-Chattanooga High Speed Ground Transportation. Tier 1 corridor planning study only.,high,FALSE,NA,RECLASSIFY (ii). Tier 1 planning.,482,Rail transportation,"rail (FRA, Amtrak, freight)",Atlanta-Chattanooga High Speed Ground Transportation Project
20170194,BLM,NV,80,2017,sector_impute_pending,NA,NA,NA,NA,NA,Gold Bar Mine McEwen Mining. Small-mid Nevada gold mine. ~$80M McEwen capex.,low,TRUE,Small-mid-gold-mine (~$80M),Eureka County NV. McEwen Mining.,212,Mining (except oil & gas),mining / mineral extraction,Gold Bar Mine Project
20170197,FAA,OR,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,FAA adoption of USAF Oregon Military Training Airspace EIS.,high,FALSE,NA,Adoption.,481,Air transportation,air / aviation / airfield / aircraft beddown,"ADOPTION--Proposed Establishment and Modification of Oregon Military Training Airspace, Contact: Paula Miller 202-267-7378 Dated: October 2, 2017. Kelly Knight, Director, NEPA Compliance Division, Office of Federal Activities. [FR Doc. 2017-21548 Filed 10-5-17; 8:45 am] BILLING CODE 6560-50-P </pre></body> </html>"
20170198,USAF,MD,375,2017,web_imputed,NA,NA,NA,NA,NA,Presidential Aircraft Recapitalization Program. VC-25B (new Air Force One) hangar + support facilities at JBA. MILCON estimate.,low,TRUE,Presidential-aircraft-hangar-MILCON (~$375M),Joint Base Andrews MD. USAF.,481,Air transportation,air / aviation / airfield / aircraft beddown,"Presidential Aircraft Recapitalization Program, Joint Base Andrews-Naval Air Facility"
20170199,FAA,CO,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,FAA adoption of Army Pinon Canyon Maneuver Site EIS.,high,FALSE,NA,Adoption <e2><80><94> primary EIS Army.,481,Air transportation,air / aviation / airfield / aircraft beddown,"Adoption--Pinon Canyon Maneuver Site Training and Operations, Contact: Paula Miller (202) 267-7378"
20170203,USACE,KS,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Kansas River Commercial Dredging EIS. Permit decision for ongoing commercial sand-and-gravel dredging. Not new construction.,high,FALSE,NA,RECLASSIFY (ii). Commercial-permit renewal.,488,Support activities for water transportation,water transportation infrastructure,Kansas River Commercial Dredging
20170213,FHWA,DE,400,2017,sector_impute_pending,NA,NA,NA,NA,NA,US 113 N/S Study Millsboro-South. DelDOT corridor improvements ~12 mi.,low,TRUE,Rural-arterial-upgrade (~$400M),Sussex County DE. DelDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,"US 113 North/South Study Millsboro- South Area, Contact: Ryan O'Donoghue (302) 734-2745"
20170215,FRA,TX,0,2017,reclassified_to_ii,NA,NA,NA,NA,NA,Texas-Oklahoma Passenger Rail Service-Level FEIS. Tier 1 study only.,high,FALSE,NA,RECLASSIFY (ii). Tier 1 service planning.,482,Rail transportation,"rail (FRA, Amtrak, freight)",Texas-Oklahoma Passenger Rail Study Service-Level FEIS/ROD
20170217,USACE,TX,1600,2017,web,https://www.constructionequipmentguide.com/ntmwd-builds-16b-bois-darc-lake/42934,NTMWD Builds $1.6B Bois d'Arc Lake,constructionequipmentguide.com,2017,NA,Estimated construction cost $1.6 billion for the lake and associated projects.,high,FALSE,NA,Lower Bois d'Arc Creek Reservoir. NTMWD. Fannin County TX. USACE 404 permit.,2213,"Water, sewage, & other systems",water supply / sewage / reservoir,Lower Bois d'Arc Creek Reservoir Fannin County Texas
20170228,FHWA,NY,110,2017,sector_impute_pending,NA,NA,NA,NA,NA,Scajaquada Expressway NY 198 Corridor Project (Buffalo). NYSDOT conversion to boulevard. Mid-size urban project.,low,TRUE,Urban-arterial-conversion (~$110M),Buffalo NY. NYSDOT.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,New York State Route 198 (Scajaquada Expressway) Corridor Project
20170237,TVA,KY,200,2017,sector_impute_pending,https://www.tva.com/environment/environmental-stewardship/coal-combustion-residuals/shawnee,TVA Shawnee CCR,tva.com,2017,NA,Shawnee Fossil Plant CCR management. Closure-in-place + new process water basin. Cost not disclosed. TVA CCR sector impute.,low,TRUE,TVA-CCR-landfill-closure (~$200M),Paducah KY. TVA CCR.,212,Mining (except oil & gas),mining / mineral extraction,Shawnee Fossil Plant Coal Combustion Residual Management
20170241,BLM,WV,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,BLM adoption/joint review of FERC Mountain Valley Pipeline + Equitrans Expansion EIS (20170113).,high,FALSE,NA,CORRECTED 2026-06-01 (dup_sweep): not a standalone coal lease. Same project as 20170113 MVP/Equitrans. Was erroneously imputed $50M.,212,Mining (except oil & gas),BLM default <e2><86><92> mining,"ADOPTION--Mountain Valley Project and Equitrans Expansion Project, Review Period, Contact: Victoria Craft (601) 919-4655."
20170247,FHWA,NC,2200,2017,web,https://www.fhwa.dot.gov/ipd/project_profiles/nc_complete_540_phase_1.aspx,FHWA Complete 540 Phase 1 Project Profile,fhwa.dot.gov,2017,NA,Phase 1 $1.3B + Phase 2 ~$1.3B = ~$2.5B total program. 28-mi expressway extension.,high,FALSE,NA,NCDOT/NCTA. Triangle Expressway SE Extension. Raleigh.,237310,"Highway, street, and bridge construction",highway / bridge / interstate,Complete 540--Triangle Expressway Southeast Extension
20170046,NSA,MD,4600,2017,web,https://comptroller.war.gov/Portals/45/Documents/defbudget/FY2025/budget_justification/pdfs/07_Military_Construction/11-National_Security_Agency.pdf,NSA East Campus Integration Program FY2025 MILCON Justification,comptroller.war.gov,2025,NA,"East Campus Integration Program <e2><80><94> 5 buildings, ~2.88M sf, FY 2019-2029. Total program $4.6B.",high,FALSE,NA,H-1 audit addition. NSA Fort Meade headquarters consolidation.,999,Unclassified,no rule matched,East Campus Integration Program
20170099,NIGC,WA,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,NIGC adoption of BIA Cowlitz Indian Tribe Trust Acquisition + Casino EIS.,high,FALSE,NA,H-1 audit addition. Adoption <e2><80><94> primary BIA EIS attributed at $0 unless found.,713210,Casinos (tribal gaming),casino / tribal gaming,"Adoption--Cowlitz Indian Tribe Trust Acquisition and Casino Project Take 151.87 Acres into Federal Trust and Issuing of Reservation Proclamation and Approving the Gaming Development and Management Contract, Contact: Esther Dittler 202-632- 7003. The National Indian Gaming Commission has adopted the U.S. Department of the Interior's Bureau of Indian Affairs FEIS #20080212, filed with EPA on 05/22/2008. NIGC was a cooperating agency with the project. Therefore, recirculation of the document is not necessary under Section 1506.3 of the CEQ Regulations."
20170110,USN,RI,50,2017,sector_impute_pending,NA,NA,NA,NA,NA,Naval Station Newport Disposal and Reuse of Surplus Property. Base realignment / land-disposal action. Small-scale.,low,TRUE,Naval-base-realignment-property-disposal (~$50M),H-1 audit addition. USN BRAC-style action.,9281,National security,national security default,Disposal and Reuse of Surplus Property at Naval Station Newport
20170230,BPA,WA,30,2017,sector_impute_pending,NA,NA,NA,NA,NA,"Melvin R. Sampson Hatchery, Yakima Basin Coho. BPA fish-mitigation hatchery. Small-mid hatchery facility.",low,TRUE,Salmon-hatchery-mid (~$30M),H-1 audit addition. BPA fish & wildlife mitigation.,999,Unclassified,no rule matched,"Melvin R. Sampson Hatchery, Yakima Basin Coho Project"
20170234,USMC,DC,100,2017,sector_impute_pending,NA,NA,NA,NA,NA,"Marine Barracks Washington DC. Multiple projects supporting historic 8th & I barracks (housing, training, support). MILCON portfolio.",low,TRUE,MILCON-historic-barracks-portfolio (~$100M),H-1 audit addition. USMC ceremonial unit.,236,Construction of buildings,federal construction / military beddown,"Multiple Projects in Support of Marine Barracks Washington, DC"
20170101,HUD,NY,480,2017,web,https://dep.nj.gov/floodresilience/rebuild-by-design-hudson-river/rebuild-by-design-hudson-river-project-overview/,Rebuild by Design Hudson River <e2><80><94> Project Overview,NJDEP,2017,NA,Total project budget $480M: $230M HUD CDBG-DR grant + $150M City of Hoboken funding + $100M State of New Jersey.,high,FALSE,NA,H-1 Round 2 audit addition. HUD-led Sandy resilience in Hoboken/Weehawken/Jersey City.,236,Construction of buildings,housing / HUD,"Rebuild by Design Hudson River: Resist, Delay, Store, Discharge Project, Review Period Ends: 07/17/ 2017, Contact: Dennis Reinknecht 609-984-0556. The New Jersey Departments of Environmental Protection and Community Affairs is the lead agency for the above project."
20170182,USACE,NA,0,2017,duplicate_of_other_eis,NA,NA,NA,NA,NA,"ADOPTION--Plains and Eastern Clean Line Transmission Line Project. Underlying EIS already counted as 20150316 (DOE/private, cancelled).",high,FALSE,NA,H-1 Round 2 audit addition. Cost = 0 because underlying project already at full cost in 2015 cohort.,2211,Electric power generation/transmission/distribution,electricity generation / transmission,"ADOPTION--Plains and Eastern Clean Line Transmission Line Project, Review Period, Contact: David Gade 918- 669-7579. The U.S. Army Corps of Engineers--Tulsa District, District Commander Christopher A. Hussin, adopts the Department of Energy's Final Environmental Impact Statement for the Plains & Eastern Clean Line Transmission Line Project (Final EIS #182396 [DOE/EIS/0486]) filed with the USEPA on 11/13/2015. As the USACE was a cooperating agency, recirculation of the document (EIS) is not necessary under 40 CFR 1506.3(c)."
